"","id","date","tavg"
"1","RSM00029862",1997-01-01,-237
"2","RSM00029862",1997-01-02,-184
"3","RSM00029862",1997-01-03,-205
"4","RSM00029862",1997-01-04,-237
"5","RSM00029862",1997-01-05,-183
"6","RSM00029862",1997-01-06,-129
"7","RSM00029862",1997-01-07,-117
"8","RSM00029862",1997-01-08,-144
"9","RSM00029862",1997-01-09,-109
"10","RSM00029862",1997-01-10,-138
"11","RSM00029862",1997-01-11,-212
"12","RSM00029862",1997-01-12,-244
"13","RSM00029862",1997-01-13,-169
"14","RSM00029862",1997-01-14,-150
"15","RSM00029862",1997-01-15,-148
"16","RSM00029862",1997-01-16,-282
"17","RSM00029862",1997-01-17,-201
"18","RSM00029862",1997-01-18,-147
"19","RSM00029862",1997-01-19,-108
"20","RSM00029862",1997-01-20,-73
"21","RSM00029862",1997-01-21,-163
"22","RSM00029862",1997-01-22,-148
"23","RSM00029862",1997-01-23,-144
"24","RSM00029862",1997-01-24,-124
"25","RSM00029862",1997-01-25,-115
"26","RSM00029862",1997-01-26,-64
"27","RSM00029862",1997-01-27,-27
"28","RSM00029862",1997-01-28,-50
"29","RSM00029862",1997-01-29,-68
"30","RSM00029862",1997-01-30,-68
"31","RSM00029862",1997-01-31,-197
"32","RSM00029862",1997-02-01,-220
"33","RSM00029862",1997-02-02,-163
"34","RSM00029862",1997-02-03,-250
"35","RSM00029862",1997-02-04,-273
"36","RSM00029862",1997-02-05,-200
"37","RSM00029862",1997-02-06,-165
"38","RSM00029862",1997-02-07,-195
"39","RSM00029862",1997-02-08,-130
"40","RSM00029862",1997-02-09,-150
"41","RSM00029862",1997-02-10,-99
"42","RSM00029862",1997-02-11,-139
"43","RSM00029862",1997-02-12,-119
"44","RSM00029862",1997-02-13,-114
"45","RSM00029862",1997-02-14,-168
"46","RSM00029862",1997-02-15,-130
"47","RSM00029862",1997-02-16,-24
"48","RSM00029862",1997-02-17,-11
"49","RSM00029862",1997-02-18,4
"50","RSM00029862",1997-02-19,-5
"51","RSM00029862",1997-02-20,-78
"52","RSM00029862",1997-02-21,-88
"53","RSM00029862",1997-02-22,-74
"54","RSM00029862",1997-02-23,-138
"55","RSM00029862",1997-02-24,-114
"56","RSM00029862",1997-02-25,-166
"57","RSM00029862",1997-02-26,-122
"58","RSM00029862",1997-02-27,-110
"59","RSM00029862",1997-02-28,-176
"60","RSM00029862",1997-03-01,-74
"61","RSM00029862",1997-03-02,NA
"62","RSM00029862",1997-03-03,-60
"63","RSM00029862",1997-03-04,2
